
Round,Event,Modal Time,Time,Duration,In Timeout?,Mode Name
0,Mode_Setup,1.46,1671643054.8782039,,False,Simple Box
1,Mode_Timeout_Round_1_Start,1.83,1671643055.247788,,True,Simple Box
1,"(Vole1, move_next_component) New Move: food_trough->beam1_door1",9.63,1671643063.0502248,,True,Simple Box
1,"(Vole1, update_location) ['food_trough'] to beam1_door1",9.91,1671643063.3289769,,True,Simple Box
1,"(Vole1, move_next_component) New Move: beam1_door1->door1(Open:False)",10.01,1671643063.427545,,True,Simple Box
1,beam1_door1_beam_break,10.29,1671643063.70895,,True,Simple Box
1,beam1_door1_beam_unbroken,11.08,1671643064.499548,0.7905979156494141,True,Simple Box
1,"(Vole1, update_location) beam1_door1 to door1",13.2,1671643066.6211798,,True,Simple Box
1,"(Vole1, move_next_component) New Move: door1(Open:False)->rfid1",13.46,1671643066.880057,,True,Simple Box
1,Mode_Timeout_Round_1_Finish,17.44,1671643070.863632,15.615844011306763,True,Simple Box
